timestamp,ticker,title,status,city,date,comparison,threshold_low,threshold_high,predicted_temp_f,std_dev,ai_probability_yes,yes_ask_percent,yes_bid_percent,no_ask_percent,no_bid_percent,last_price_percent,edge,decision,resolved_outcome,pnl_percent
2026-03-19 01:10:11,KXHIGHLAX-26MAR14-B76.5,"Will the **high temp in LA** be 76-77° on Mar 14, 2026?",finalized,Los Angeles,"Mar 14, 2026",between,76.0,77.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:12,KXHIGHLAX-26MAR14-B74.5,"Will the **high temp in LA** be 74-75° on Mar 14, 2026?",finalized,Los Angeles,"Mar 14, 2026",between,74.0,75.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:12,KXHIGHLAX-26MAR14-B72.5,"Will the **high temp in LA** be 72-73° on Mar 14, 2026?",finalized,Los Angeles,"Mar 14, 2026",between,72.0,73.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:13,KXHIGHLAX-26MAR13-T88,"Will the **high temp in LA** be >88° on Mar 13, 2026?",finalized,Los Angeles,"Mar 13, 2026",greater_than,88.0,,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:13,KXHIGHLAX-26MAR13-T81,"Will the **high temp in LA** be <81° on Mar 13, 2026?",finalized,Los Angeles,"Mar 13, 2026",less_than,,81.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:13,KXHIGHLAX-26MAR13-B87.5,"Will the **high temp in LA** be 87-88° on Mar 13, 2026?",finalized,Los Angeles,"Mar 13, 2026",between,87.0,88.0,,,,100.0,0.0,100.0,0.0,99.0,,,YES,
2026-03-19 01:10:14,KXHIGHLAX-26MAR13-B85.5,"Will the **high temp in LA** be 85-86° on Mar 13, 2026?",finalized,Los Angeles,"Mar 13, 2026",between,85.0,86.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:14,KXHIGHLAX-26MAR13-B83.5,"Will the **high temp in LA** be 83-84° on Mar 13, 2026?",finalized,Los Angeles,"Mar 13, 2026",between,83.0,84.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:14,KXHIGHLAX-26MAR13-B81.5,"Will the **high temp in LA** be 81-82° on Mar 13, 2026?",finalized,Los Angeles,"Mar 13, 2026",between,81.0,82.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:15,KXHIGHLAX-26MAR12-T92,"Will the **high temp in LA** be >92° on Mar 12, 2026?",finalized,Los Angeles,"Mar 12, 2026",greater_than,92.0,,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:15,KXHIGHLAX-26MAR12-T85,"Will the **high temp in LA** be <85° on Mar 12, 2026?",finalized,Los Angeles,"Mar 12, 2026",less_than,,85.0,,,,100.0,0.0,100.0,0.0,99.0,,,YES,
2026-03-19 01:10:16,KXHIGHLAX-26MAR12-B91.5,"Will the **high temp in LA** be 91-92° on Mar 12, 2026?",finalized,Los Angeles,"Mar 12, 2026",between,91.0,92.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:16,KXHIGHLAX-26MAR12-B89.5,"Will the **high temp in LA** be 89-90° on Mar 12, 2026?",finalized,Los Angeles,"Mar 12, 2026",between,89.0,90.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
