ticker,title,status,city,date,comparison,threshold_low,threshold_high,predicted_temp_f,std_dev,source,ai_probability_yes,predicted_direction,resolved_outcome,yes_ask_percent,yes_bid_percent,no_ask_percent,no_bid_percent,last_price_percent,result
KXHIGHLAX-26MAR04-B64.5,"Will the **high temp in LA** be 64-65° on Mar 4, 2026?",finalized,Los Angeles,"Mar 4, 2026",between,64.0,65.0,71.24,6.54,openmeteo_archive,3.59,NO,YES,100.0,0.0,100.0,0.0,99.0,LOSS
KXHIGHLAX-26MAR03-T74,"Will the **high temp in LA** be >74° on Mar 3, 2026?",finalized,Los Angeles,"Mar 3, 2026",greater_than,74.0,,73.04,6.72,openmeteo_archive,44.32,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR03-T67,"Will the **high temp in LA** be <67° on Mar 3, 2026?",finalized,Los Angeles,"Mar 3, 2026",less_than,,67.0,73.04,6.72,openmeteo_archive,18.44,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR03-B73.5,"Will the **high temp in LA** be 73-74° on Mar 3, 2026?",finalized,Los Angeles,"Mar 3, 2026",between,73.0,74.0,73.04,6.72,openmeteo_archive,5.92,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR03-B71.5,"Will the **high temp in LA** be 71-72° on Mar 3, 2026?",finalized,Los Angeles,"Mar 3, 2026",between,71.0,72.0,73.04,6.72,openmeteo_archive,5.78,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR03-B69.5,"Will the **high temp in LA** be 69-70° on Mar 3, 2026?",finalized,Los Angeles,"Mar 3, 2026",between,69.0,70.0,73.04,6.72,openmeteo_archive,5.16,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR03-B67.5,"Will the **high temp in LA** be 67-68° on Mar 3, 2026?",finalized,Los Angeles,"Mar 3, 2026",between,67.0,68.0,73.04,6.72,openmeteo_archive,4.23,NO,YES,100.0,0.0,100.0,0.0,99.0,LOSS
KXHIGHLAX-26MAR02-T73,"Will the **high temp in LA** be >73° on Mar 2, 2026?",finalized,Los Angeles,"Mar 2, 2026",greater_than,73.0,,74.12,6.18,openmeteo_archive,57.19,YES,NO,100.0,0.0,100.0,0.0,1.0,LOSS
KXHIGHLAX-26MAR02-T66,"Will the **high temp in LA** be <66° on Mar 2, 2026?",finalized,Los Angeles,"Mar 2, 2026",less_than,,66.0,74.12,6.18,openmeteo_archive,9.44,NO,YES,100.0,0.0,100.0,0.0,99.0,LOSS
KXHIGHLAX-26MAR02-B72.5,"Will the **high temp in LA** be 72-73° on Mar 2, 2026?",finalized,Los Angeles,"Mar 2, 2026",between,72.0,73.0,74.12,6.18,openmeteo_archive,6.23,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR02-B70.5,"Will the **high temp in LA** be 70-71° on Mar 2, 2026?",finalized,Los Angeles,"Mar 2, 2026",between,70.0,71.0,74.12,6.18,openmeteo_archive,5.43,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR02-B68.5,"Will the **high temp in LA** be 68-69° on Mar 2, 2026?",finalized,Los Angeles,"Mar 2, 2026",between,68.0,69.0,74.12,6.18,openmeteo_archive,4.27,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
