timestamp,city,temperature,humidity,pressure,wind_speed,clouds,visibility,rain,weather
2026-03-18 13:00:05,"Seattle,US",11.05,94,1015,4.92,75,10000,0.84,light rain
2026-03-18 13:00:05,"Chicago,US",-3.99,85,1019,4.12,100,10000,0,light snow
2026-03-18 13:00:05,"Dallas,US",8.46,59,1021,0.89,78,10000,0,broken clouds
2026-03-18 13:00:05,"Tokyo,JP",14.02,82,1013,3.6,75,10000,0,broken clouds
2026-03-18 13:00:05,"Toronto,CA",-5.93,75,1027,15.2,100,10000,0,overcast clouds
2026-03-18 13:00:05,"Singapore,SG",29.4,69,1010,6.17,75,10000,0,broken clouds
2026-03-18 13:00:06,"London,GB",17.4,51,1021,5.14,7,10000,0,clear sky
2026-03-18 13:00:06,"Seoul,KR",4.76,81,1015,2.57,0,10000,0,clear sky
2026-03-18 13:00:06,"Paris,FR",14.27,34,1019,8.23,0,10000,0,clear sky
2026-03-18 15:00:06,"New York,US",-2.42,43,1030,5.66,0,10000,0,snow
2026-03-18 15:00:06,"Seattle,US",11.03,95,1015,4.92,100,10000,1.54,moderate rain
2026-03-18 15:00:06,"Chicago,US",-2.99,82,1019,1.79,100,10000,0,overcast clouds
2026-03-18 15:00:06,"Dallas,US",9.13,65,1022,2.68,23,10000,0,few clouds
2026-03-18 15:00:06,"Tokyo,JP",14.29,77,1011,5.14,75,10000,0,broken clouds
2026-03-18 15:00:06,"Toronto,CA",-3.97,67,1028,15.2,20,10000,0,few clouds
2026-03-18 15:00:06,"Singapore,SG",27.96,75,1011,4.12,75,10000,0,broken clouds
2026-03-18 15:00:06,"London,GB",18.38,45,1021,4.63,0,10000,0,clear sky
2026-03-18 15:00:06,"Seoul,KR",3.76,87,1017,2.57,75,9000,0,broken clouds
2026-03-18 15:00:07,"Paris,FR",16.06,29,1018,9.77,0,10000,0,clear sky
2026-03-18 16:00:08,"New York,US",-1.61,40,1030,6.69,0,10000,0,snow
2026-03-18 16:00:09,"Seattle,US",11.12,95,1015,4.12,100,4828,0,mist
2026-03-18 16:00:09,"Chicago,US",-2.33,80,1019,6.17,100,10000,0,overcast clouds
