timestamp,total_trades,wins,losses,pending,win_rate_percent,total_pnl_percent,final_bankroll,bankroll_return_percent
2026-04-16 10:15:07,45,0,0,0,0.0,0.0,1000.0,0.0
2026-04-16 11:15:14,45,0,0,0,0.0,0.0,1000.0,0.0
2026-04-17 07:15:08,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-17 08:15:08,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-17 09:15:08,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-17 17:15:22,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-18 11:15:47,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-18 12:15:07,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-18 23:15:10,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-19 00:15:11,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-19 09:15:43,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-19 10:15:21,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-19 11:15:20,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-19 21:15:12,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-24 07:15:09,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-24 15:15:08,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-24 21:15:12,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-25 08:15:07,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-26 09:15:08,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-27 17:15:10,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-27 18:16:23,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-27 19:15:34,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-27 20:16:25,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-27 21:15:13,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-27 22:15:21,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-27 23:16:18,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-28 06:15:36,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-28 07:15:15,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-28 08:15:11,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-28 16:16:34,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-28 17:15:10,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-28 18:15:07,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-28 19:15:18,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-29 11:16:22,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-29 12:15:21,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-29 14:15:53,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-29 15:15:08,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-29 17:15:07,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-29 22:15:11,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-30 10:15:04,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-30 11:15:07,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-30 12:15:08,53,0,0,0,0.0,0.0,1000.0,0.0
2026-04-30 14:15:09,53,0,0,0,0.0,0.0,1000.0,0.0
